body,title,url
"“El ELN y la ex-Farc están en Venezuela”, así lo denuncia el comisionado especial de Seguridad e Inteligencia del gobierno interino de Juan Guaidó, Iván Simonovis, quien este lunes reveló en medios de comunicación del vecino país una serie de fotos y videos que demostrarían que Seuxis Pausias Hernández, alias Jesús Santrich, vive en Caracas. ¿Cómo obtuvo las imágenes?","
                        ¿De dónde salieron las supuestas fotografías de Santrich en Caracas?
                    ",https://www.semana.com/nacion/articulo/con-fotografias-denuncian-que-jesus-santrich-esta-viviendo-en-caracas/673810
"Después de casi un mes fuera del país, Gustavo Petro ya está de regreso en Colombia. En redes sociales se difundió una foto del senador en su vuelo para retornar desde Cuba.","
                        Gustavo Petro ya regresó a Colombia desde Cuba
                    ",https://www.semana.com/nacion/articulo/gustavo-petro-ya-regreso-a-colombia-desde-cuba/673814
"En el transcurso de la semana, en Twitter se hizo tendencia #ALaNachoNoSeEntraConIcfes, debido a los anuncios que hizo la Universidad Nacional en materia de admisiones, ya que no pudo aplicar la tradicional prueba debido a la crisis sanitaria por nuevo coronavirus, a la cual se presentan miles y miles de jóvenes, pero solo unos pocos obtienen un cupo cada semestre.","
                        ""Icfes no reemplazará el examen de la Nacional"": director de Admisiones
                    ",https://www.semana.com/educacion/articulo/icfes-no-reemplazara-el-examen-de-la-nacional-director-de-admisiones/673813
"Lavarse las manos se está convirtiendo en este Gobierno más que en una medida de prevención sanitaria. Duque, el presidente que no gobierna, se las lava pero como Pilatos; es decir, se las lava no por el temor al coronavirus, sino para rehuir la responsabilidad que le cabe en todos los escándalos que cada semana le estallan en sus narices.",,https://www.semana.com/opinion/articulo/los-elefantes-de-palacio-dineros-ilicitos-en-campana-duque-maria-jimena-duzan/673567
"La luna de miel entre el presidente Iván Duque y el expresidente Andrés Pastrana terminó. Así lo demuestra cada una de las ráfagas tuiteras de Pastrana, quien mandó la diplomacia al carajo y ya no puede ocultar su inconformismo. Poco a poco se ha ido convirtiendo en un crítico agudo del Gobierno en temas clave. Palacio parece ignorarlo intencionalmente. Mientras, la alianza política Duque-Pastrana está hecha pedazos. Cada día el exmandatario se llena de más y más motivos que le pesan evidentemente. ",,https://www.semana.com/opinion/articulo/pastrana-inconforme-con-decisiones-del-gobierno-ivan-duque-vicky-davila/673565
"Proclaman a los cuatro vientos que son los guardianes de la reconciliación nacional, que el perdón es su dios supremo y, sin embargo, a la mínima trampita pelan el cobre. Imposible hallar mayor incoherencia.",,https://www.semana.com/opinion/articulo/los-tales-amigos-de-la-paz-a-proposito-del-hijo-de-jorge-40-por-salud-hernandez/673487
Sabían que se venía una nueva enfermedad: una desconocida infección respiratoria que había aparecido por primer vez en China a finales del año pasado. Pero los casos que fueron llegando tomaron incluso a los especialistas más experimentados de las UCI por sorpresa.,"
                        ¿Cómo en pocas semanas cambió radicalmente lo que sabemos del coronavirus?
                    ",https://www.semana.com/mundo/articulo/coronavirus-como-en-pocas-semanas-cambio-radicalmente-lo-que-sabemos-del-virus/673768
"En este momento, las instituciones de salud enfrentan un desafío sin precedentes que nos recuerda la importancia de trabajar juntos. Por eso, UnitedHealth Group a través de sus empresas en Colombia (Colmédica, la Clínicas del Country y Clínica La Colina) realizó una donación de cerca de 2.000 millones de pesos, para apoyar a los hospitales públicos de la ciudad. Como parte activa del sector, conocemos en profundidad las necesidades para la atención de la población. Por lo que nuestros esfuerzos van dirigidos a apoyar la árdua labor de los profesionales de la salud en los hospitales públicos de Bogotá. También reconocemos la importancia de mantenernos sanos y seguros, para así atender la emergencia.","
                        ¡Unidos con nuestros colegas de Bogotá!
                    ",https://www.semana.com/hablan-las-marcas/articulo/unidos-con-nuestros-colegas-de-bogota/670724
"Se ha producido una alentadora noticia sobre el coronavirus. La OMS señaló que una segunda ola de la covid-19 parece cada vez más improbable, aunque hacen un llamado a la prudencia teniendo en cuenta que esto es lo que indican los modelos, pero que aún no se ha comprobado debido a que el comportamiento del virus es cambiante.","
                        OMS sobre segunda ola de coronavirus: “Cada vez se va descartando más”
                    ",https://www.semana.com/mundo/articulo/oms-sobre-segunda-ola-de-coronavirus-cada-vez-se-va-descartando-mas/673811
"Tras la emergencia sanitaria que ha significado la pandemia del covid-19, el gran desafío para los países ha sido tomar las medidas necesarias para proteger a la población, mientras procuran el menor impacto posible en la economía. A pesar de los esfuerzos, y teniendo en cuenta que la principal recomendación para disminuir la propagación del virus es la cuarentena, es muy probable que muchos hábitos de consumo se transformen.","
                        Las oportunidades de transformación tras la pandemia
                    ",https://www.semana.com/hablan-las-marcas/articulo/las-oportunidades-de-transformacion-tras-la-pandemia/672645
"El lunes el mundo llegó a niveles de optimismo no registrados en los últimos cuatro meses. El entusiasmo vino por cuenta de la compañía Moderna, uno de los competidores en la carrera por crear una vacuna contra la covid-19, la enfermedad causada por el nuevo coronavirus. Según el reporte, la vacuna de esta compañía es segura y logró estimular el sistema inmune del grupo de voluntarios que participan en esta primera fase de estudios clínicos.","
                        ¿Vacuna a la vista?: así avanza la carrera por la cura de la covid en el mundo
                    ",https://www.semana.com/vida-moderna/articulo/vacuna-del-coronavirus-optimismo-por-resultados-de-la-compania-moderna/673294
"Este lunes, el Ministerio de Salud reportó 806 casos nuevos de coronavirus, con lo que se llegó a un total de 21.981 infectados en el país.","
                        Coronavirus en Colombia: casi 22.000 casos reportados en total
                    ",https://www.semana.com/vida-moderna/articulo/coronavirus-en-colombia-25-de-mayo-806-nuevos-casos-y-23-fallecidos/673812
"Hoy en día, las aseguradoras están activando líneas telefónicas, chatbots, consultas de vídeo a escala masiva. Recuerdan a los clientes que pueden notificar los daños a distancia, extender el contrato y enviar documentos en forma electrónica. Están aplicando urgentemente procedimientos simplificados para la conclusión de contratos de seguros. Las formaciones se organizan en línea mediante seminarios web. ","
                        Negocios en tiempos de digitalización forzada: Camino sin retorno
                    ",https://www.semana.com/hablan-las-marcas/articulo/negocios-en-tiempos-de-digitalizacion-forzada-camino-sin-retorno/672150
"El primer ministro japonés Shinzo Abe anunció este lunes el levantamiento del estado de emergencia por la epidemia de covid-19 en las últimas regiones del archipiélago en que seguía vigente, incluida Tokio, pero insistiendo en mantener la cautela.","
                        Japón levantó el estado de emergencia por disminución de casos de coronavirus
                    ",https://www.semana.com/mundo/articulo/coronavirus-japon-levanto-el-estado-de-emergencia-tras-disminucion-de-casos/673784
"Nunca en la historia los pronósticos sobre la economía habían cambiado tanto, tan rápido y tan mal. Cuando llegó la pandemia, las multilaterales y los analistas anticipaban una caída grande y transitoria de la economía mundial, pero con posibilidades de una recuperación relativamente rápida para 2021. Lo que los economistas llaman recuperación en forma de V. Hoy casi todos hablan de la peor depresión desde la gran crisis mundial de 1929 y de una recuperación más lenta, en forma de U. Las consecuencias sociales de este cambio de letras son impredecibles.","
                        ¡La cosa está dura en la economía!
                    ",https://www.semana.com/nacion/articulo/coronavirus-en-colombia-los-graves-problemas-que-enfrenta-la-economia/673566
"Una de las medidas para frenar el incremento de contagios en Estados Unidos y en el mundo ha sido el cierre de los restaurantes, para evitar las aglomeraciones de personas y la exposición a contagiarse o a transmitir el coronavirus.","
                        Ratas agresivas: otra consecuencia del coronavirus en Nueva York
                    ",https://www.semana.com/mundo/articulo/coronavirus-en-el-mundo-ratas-agresivas-buscan-comida-en-nueva-york/673789
"Sin opciones de una salida inmediata y en medio de la crisis que aún enfrenta el mundo por culpa del coronavirus, cerca de 200 colombianos decidieron trasladarse a las instalaciones del aeropuerto internacional de São Paulo pidiendo ayudas para salir del país lo antes posible y regresar a Colombia.","
                        Cientos de colombianos acampan en aeropuerto de Brasil esperando volver al país 
                    ",https://www.semana.com/mundo/articulo/coronavirus-colombianos-acampan-en-aeropuerto-de-brasil-esperando-ayuda/673764
"El restaurante La Provincia fue pionero en alta cocina en Medellín. Nació hace veintisiete años, cuando los coletazos de la guerra del narcotráfico aún sacudían a la ciudad. Empezar un restaurante en esa época era una tarea de fe, pues pocas personas se animaban a meterse en lugares cerrados donde podrían estallar vendettas y bombas. Sin embargo, dice su dueña María Adelaida Moreno, nada se compara a esta crisis que ha traído el coronavirus, nada se compara a ver su refugio cerrado.","
                        “Tener el restaurante cerrado es aniquilante”: dueña de La Provincia
                    ",https://www.semana.com/nacion/articulo/coronavirus-la-crisis-del-restaurante-paisa-la-provincia-en-medellin/671269
Dayro Moreno protagoniza otro escándalo en Argentina. El futbolista colombiano estuvo implicado en un accidente vial en el que su camioneta chocó a una joven de 24 años en la ciudad de Córdoba.,"
                        ¿Violó el aislamiento? Camioneta de Dayro Moreno chocó una moto en Argentina
                    ",https://www.semana.com/deportes/articulo/violo-el-aislamiento-camioneta-de-dayro-moreno-choco-una-moto-en-argentina/673804
Miles de manifestantes salieron a las calles de Hong Kong este domingo para protestar contra un plan de Beijing para imponer una nueva ley de seguridad nacional en el territorio chino semiautónomo.,"
                        Se reactivan protestas contra China en la Hong Kong poscoronavirus
                    ",https://www.semana.com/mundo/articulo/nueva-jornada-de-protestas-en-hong-kong-tras-coronavirus/673753
"Debido a la alta demanda de tapabocas médicos por la pandemia del coronavirus, han surgido diferentes alternativas para reemplazar estos implementos en el mundo. Entre ellos están caretas, bufandas y pañuelos, entre otros productos ingeniosos. Pero uno de los más usados es el tapabocas de tela. ","
                        Todo lo que debe saber sobre los tapabocas de tela 
                    ",https://www.semana.com/vida-moderna/articulo/coronavirus-tapabocas-de-tela-funcionan-pero-no-todos/673692
